Seller;Buyer;Number of sales
William Kando;Craig Lampe;8
William Kando;Anonymous American collector(s)-1;1
William Kando;Schoeyen Collection;22
William Kando;William Noah-James Ferrell;4
William Kando;Bruce Ferrini;1
William Kando;William Noah;1
Craig Lampe;Ron Wicks;1
Bruce Ferrini;ATS;1
Bedouin;Hanan Eshel;4
Unknown;LMI;1
Unknown;James Charlesworth;1
William Noah;Michael Sharpe;1
Craig Lampe;Steve Green;4
Lee Biondi;APU;4
LMI;APU;1
James Charlesworth;Steve Green;1
William Kando;Steve Green;7
William Kando;SBTS;7
William Kando;Mark W. Lanier;1
Joel Lampe;David Sutherland;1
Andrew Stimer;Green Collection;3
Andrew Stimer;NCF;1
William Noah-James Ferrell;Aristophil Collection;4
Aristophil Collection;Anonymous Collector;4
William Kando;Andrew Stimer;1
Steve Green;MOTB;12
William Kando;Dorothy Patterson;1
Dorothy Patterson;SBTS;1
Michael Sharpe;FJCO;1
William Kando;Gary, Stephanie Loveless;1
Gary, Stephanie Loveless;SBTS;1
Green Collection;MOTB;3
Anonymous American collector(s)-1;Anonymous American collector(s)-2;1
Craig Lampe;RE: William Kando;1
